fail,fail,fail
Full Sun,"Mesic, Dry Mesic, Dry",24-36 inches
Full Sun,"Wet, Wet Mesic, Mesic, Dry Mesic, Dry",30-50 feet
"Partial or Dappled Shade, Partial Shade to Full Shade, Full Shade",Mesic,12-20 feet
"Full Sun, Full Sun to Partial Shade",Mesic,30-50 feet
"Full Sun, Full Sun to Partial Shade",Mesic,30-60 feet
"Full Sun, Full Sun to Partial Shade",Mesic,fail
"Partial Shade to Full Shade, Full Shade","Mesic, Dry Mesic, Dry",2-4 feet
"Full Sun, Full Sun to Partial Shade",Mesic,15-25 feet
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade",Mesic,fail
"Full Sun, Full Sun to Partial Shade",Mesic,12-18 inches
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade, Partial Shade to Full Shade, Full Shade",Mesic,3-10 feet
"Full Sun, Full Sun to Partial Shade","Wet, Wet Mesic, Mesic",18-24 inches
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade",Mesic,15-30 feet
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",12-36 inches
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade",Mesic,35-50 feet
Full Sun,"Wet, Wet Mesic, Mesic",30-60 feet
"Full Sun, Full Sun to Partial Shade","Wet, Wet Mesic, Mesic",fail
"Full Sun, Full Sun to Partial Shade",Mesic,30-50 feet
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",30-50 feet
Full Sun,"Mesic, Dry Mesic, Dry",20-40 feet
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",12-20 feet
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",30 feet
"Full Sun, Full Sun to Partial Shade",Mesic,20-50 feet
fail,fail,fail
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade","Mesic, Dry Mesic, Dry",3-5 feet
"Full Sun, Full Sun to Partial Shade",Mesic,20-25 feet
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade","Wet, Wet Mesic, Mesic",4-8 feet
Full Sun,"Wet, Wet Mesic, Mesic, Dry Mesic, Dry",fail
"Full Sun, Full Sun to Partial Shade",Mesic,12-20 feet
Partial or Dappled Shade,"Mesic, Dry Mesic, Dry",15-20 feet
fail,fail,fail
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade",Mesic,25-35 feet
"Full Sun, Full Sun to Partial Shade",fail,40 cm
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade","Mesic, Dry Mesic, Dry",15-24 inches
Full Sun,"Mesic, Dry Mesic, Dry",10 inches
Full Sun,fail,2-3 feet
"Full Sun, Full Sun to Partial Shade",Mesic,30-40 feet
"Full Sun, Full Sun to Partial Shade",Mesic,18 inches
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",12-36 inches
"Full Sun, Full Sun to Partial Shade",fail,fail
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade, Partial Shade to Full Shade, Full Shade","Mesic, Dry Mesic, Dry",40-60 feet
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",50-70 feet
"Full Sun, Full Sun to Partial Shade","Wet, Wet Mesic, Mesic",20-40 feet
Full Sun,"Mesic, Dry Mesic, Dry",12 inches
fail,"Mesic, Dry Mesic, Dry",fail
fail,fail,fail
