Trees,,,,,
Common Name,Scientific Name,Sun,Moist.,Ht.,    Comments
Box Elder,Acer negudo,S,W-D,30-50',Migrating birds eat seeds; male & female plants
Red Maple,Acer rubrum,F,W-D,50-75',Buds & young twigs are red: great fall color
Silver Maple,Acer saccharinum,F-P,A-W,60-75',Lacy leaves with a white bloom on the underside
Downy Serviceberry,Amelanchier arborea,F-P,A-D,15-25',Yellow-orange-red fall color; white flowers in April
Sweet Birch,Betula lenta,F-P,A,40-55',Golden yellow fall color
River Birch,Betula nigra,F,A-W,40-70',Modest yellow fall color; seed attracts birds
American Hornbeam,Carpinus caroliniana,P-S,W-A,20-30',"Good street tree; yellow, orange, scarlet fall color"
Bitternut Hickory,Carya cordiformis,F-P,D-W,50-70',Striking yellow buds; yellow fall color; rapid growth
Pignut Hickory,Carya glabra,P-S,D,50-99',Golden yellow fall color; rapid growth rate
Shagbark Hickory,Carya ovata,F-P,A,70-90',Yellow to golden-brown fall color; squirrels eat nuts
Hackberry,Celtis occidentalis,F-P,W-D,50-75',Mild yellow fall color; warty trunk interesting in winter
Atlantic White Cedar,Chamaecyparis thyoides,F,A-W,40-50',Green needle-like foliage with white markings
Fringetree,Chionanthus virginicus,F-P,A,20',Show-stopping creamy white flowers in Apr-May
Persimmon,Diospyros virginiana,F-S,D-A,30-50',"Yellow, orange to mauve fall color; butterfly larval plant"
American Beech,Fagus grandifolia,F-S,A,50-80',Golden brown fall color; nuts attract birds & squirrels
White Ash,Fraxinus americana,F-P,A,60-80',"Yellow, maroon to purple fall color; butterfly larval plant"
Green Ash,Fraxinus pennsylvanica,F-P,A,50-60',Grows fast; yellow fall color
American Holly,Ilex opaca,F-P,A-D,20-40',To ensure fruit one male is needed to 2-3 females
Red Cedar,Juniperus virginiana,F-P,D-A,30-40',Good for screening; attracts birds
Sweet Gum,Liquidambar styraciflua,F,W-A,60-85',Brilliant scarlet red to red-purple fall color
Tulip Tree,Liriodendron tulipifera,F,A,70-90',"Large tulip-like flowers are yellow, green & orange"
Sweetbay Magnolia,Magnolia virginiana,P-F,W-A,60',"White, fragrant flowers(spr) become red seeds(summer)"
Red Mulberry,Morus rubra,F-P,A,50-70',Red to dard purple sweet & juicy edible fruits
Black Gum,Nyssa sylvatica,F,A-D,30-60',Scarlet red fall color
Shortleaf Pine,Pinus echinata,F-P,D,80-99',Dark blue-green needles; seed eaten by birds
Loblolly Pine,Pinus taeda,F,D-W,50-90',Dark green needles; rapid growth; seed eaten by birds
Virginia Pine,Pinus virginiana,F,D,15-40',Foliage used in Christmas decorations; birds eat seeds
